Year,Year,Year,Year,Year,NaN,NaN,Year,Year,Year,Year,Year,YEAR,NaN
DownPAR_AbvCnpy_36m,umol/m2/s,DownPAR_AbvCnpy,met,Final_Filled,Met3,%8.3f,PAR,PAR,PAR,PAR,PAR,PAR,PPFD_IN_F
WindSpd_AbvCnpy_36m,m/s,WindSpd,met,Final_Filled,Met3,%6.3f,WS,WS,WS,WS,WS,WS,WS_F
SurfPress,kPa,Pressure,met,Final_Filled,Met3,%7.3f,APR,APR,APR,APR,APR,PRESS,PA_F
NetRad_AbvCnpy_36m,W/m2,NetRad_AbvCnpy,met,Final_Filled,Met3,%7.3f,Rn_filled,Rn_filled,Rn_filled,NaN,Rn_filled,Rn,NETRAD_F
CNR1_GlobalShortwaveRad_AbvCnpy_36m,W/m2,DownShortWaveRad_Abv_Cnpy,met,Final_Filled,Met3,%8.3f,NaN,NaN,NaN,NaN,NaN,Rg,SW_IN_F
SoilTemp_2cm,degC,SoilTemp_2cm,met,Final_Filled,Met3,%6.3f,Ts2,Ts2,Ts2,Ts2,Ts2,TS1,TS_F_1
SoilTemp_5cm,degC,SoilTemp_5cm,met,Final_Filled,Met3,%6.3f,Ts5,Ts5,Ts5,Ts5,Ts5,TS2,TS_F_2
SoilTemp_10cm,degC,SoilTemp_10cm,met,Final_Filled,NaN,%6.3f,Ts10,Ts10,Ts10,Ts10,Ts10,NaN,TS_F_3
SoilTemp_20cm,degC,SoilTemp_20cm,met,Final_Filled,NaN,%6.3f,Ts20,Ts20,Ts20,Ts20,Ts20,NaN,TS_F_4
SoilTemp_50cm,degC,SoilTemp_50cm,met,Final_Filled,NaN,%6.3f,Ts50,Ts50,Ts50,Ts50,Ts50,NaN,TS_F_5
SoilTemp_100cm,degC,SoilTemp_100cm,met,Final_Filled,NaN,%6.3f,Ts100,Ts100,Ts100,Ts100,Ts100,NaN,TS_F_6
VWC_A_0_30cm_avg,m3/m3,SM_A_30_avg,met,Final_Filled,NaN,NaN,SM_a,SM_a,SM_a,SM_a,SM_a,NaN,NaN
VWC_B_0_30cm_avg,m3/m3,SM_B_30_avg,met,Final_Filled,NaN,NaN,SM_b,SM_b,SM_b,SM_b,SM_b,NaN,NaN
VWC_A_0_30cm,m3/m3,SM_A_30_filled,met,Final_Filled,SM3,%6.4f,SM_a_filled,SM_a_filled,SM_a_filled,SM_a_filled,SM_a_filled,NaN,NaN
VWC_B_0_30cm,m3/m3,SM_B_30_filled,met,Final_Filled,SM3,%6.4f,SM_b_filled,SM_b_filled,SM_b_filled,SM_b_filled,SM_b_filled,NaN,NaN
GEONOR_PPT,mm,GEO_PPT,ppt,Final_Filled,NaN,%6.4f,GEO_PPT,GEO_PPT,GEO_PPT,GEO_PPT,GEO_PPT,NaN,P_F
NEE_OPEC,umol/m2/s,NEE_cleaned,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GEP_filled_OPEC,umol/m2/s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
R_filled_OPEC,umol/m2/s,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NEE_OPEC_noBurba,umol/m2/s,NEE_noBurba,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FC_OPEC,umol/m2/s,Fc,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO2_top_OPEC,ppm,CO2_top,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO2_cpy_OPEC,ppm,CO2_cpy,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LE_OPEC,W/m2,LE_cleaned,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H_OPEC,W/m2,Hs_cleaned,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LE_OPEC_noBurba,W/m2,LE_noBurba,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fc_OPEC_noBurba,umol/m2/s,Fc_noBurba,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ustar_OPEC,m/s,u_star,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H2O_OPEC,mmol/mol,H2O_top,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dcdt_OPEC,umol/m2/s,dcdt,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dcdt_1h_OPEC,umol/m2/s,dcdt_1h,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dcdt_2h_OPEC,umol/m2/s,dcdt_2h,opec,Final_Calculated,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
w_std_CPEC,m/s,w_std,cpec,Final_Cleaned,NaN,%7.4f,w_std,w_std,NaN,w_std,NaN,NaN,W_SIGMA
v_std_CPEC,m/s,v_std,cpec,Final_Cleaned,NaN,%7.4f,NaN,NaN,NaN,NaN,NaN,NaN,V_SIGMA
CO2_std_CPEC,ppm,CO2_std,cpec,Final_Cleaned,NaN,NaN,CO2_std,CO2_std,NaN,CO2_std,NaN,NaN,NaN
GapFilledPIPref_GEP,umol/m2/s,GEP_filled,gapfilled_NEE,SiteSpec_region,Flx3,%6.3f,NaN,GEP_filled_SiteSpec_region,GEP_filled_SiteSpec_region,NaN,GEP_filled_SiteSpec_region,GPP,GPP_F
GapFilledPIPref_R,umol/m2/s,RE_filled,gapfilled_NEE,SiteSpec_region,Flx3,%6.3f,NaN,R_filled_SiteSpec_region,R_filled_SiteSpec_region,NaN,R_filled_SiteSpec_region,RE,RECO_F
GapFilledPIPref_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,SiteSpec_region,Flx3,%6.3f,NaN,NEE_filled_SiteSpec_region,NEE_filled_SiteSpec_region,NaN,NEE_filled_SiteSpec_region,NEE,NEE_F
GapFilledPIPref_SiteOnly_GEP,umol/m2/s,GEP_filled,gapfilled_NEE,SiteSpec_inbnds,NaN,NaN,NaN,GEP_filled_SiteSpec_inbounds,GEP_filled_SiteSpec_inbounds,NaN,GEP_filled_SiteSpec_inbounds,NaN,NaN
GapFilledPIPref_SiteOnly_R,umol/m2/s,RE_filled,gapfilled_NEE,SiteSpec_inbnds,NaN,NaN,NaN,R_filled_SiteSpec_inbounds,R_filled_SiteSpec_inbounds,NaN,R_filled_SiteSpec_inbounds,NaN,NaN
GapFilledPIPref_SiteOnly_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,SiteSpec_inbnds,NaN,NaN,NaN,NEE_filled_SiteSpec_inbounds,NEE_filled_SiteSpec_inbounds,NaN,NEE_filled_SiteSpec_inbounds,NaN,NaN
GapFilledFCRN_GEP,umol/m2/s,GEP_filled,gapfilled_NEE,FCRN_region,NaN,NaN,NaN,GEP_filled_FCRN_region,GEP_filled_FCRN_region,NaN,GEP_filled_FCRN_region,NaN,NaN
GapFilledFCRN_R,umol/m2/s,RE_filled,gapfilled_NEE,FCRN_region,NaN,NaN,NaN,R_filled_FCRN_region,R_filled_FCRN_region,NaN,R_filled_FCRN_region,NaN,NaN
GapFilledFCRN_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,FCRN_region,NaN,NaN,NaN,NEE_filled_FCRN_region,NEE_filled_FCRN_region,NaN,NEE_filled_FCRN_region,NaN,NaN
GapFilledFCRN_SiteOnly_GEP,umol/m2/s,GEP_filled,gapfilled_NEE,FCRN_inbnds,NaN,NaN,NaN,GEP_filled_FCRN_inbounds,GEP_filled_FCRN_inbounds,NaN,GEP_filled_FCRN_inbounds,NaN,NaN
GapFilledFCRN_SiteOnly_R,umol/m2/s,RE_filled,gapfilled_NEE,FCRN_inbnds,NaN,NaN,NaN,R_filled_FCRN_inbounds,R_filled_FCRN_inbounds,NaN,R_filled_FCRN_inbounds,NaN,NaN
GapFilledFCRN_SiteOnly_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,FCRN_inbnds,NaN,NaN,NaN,NEE_filled_FCRN_inbounds,NEE_filled_FCRN_inbounds,NaN,NEE_filled_FCRN_inbounds,NaN,NaN
GapFilledANN_GEP,umol/m2/s,GEP_filled,gapfilled_NEE,ANN_region,NaN,NaN,NaN,GEP_filled_ANN_region,GEP_filled_ANN_region,NaN,GEP_filled_ANN_region,NaN,NaN
GapFilledANN_R,umol/m2/s,RE_filled,gapfilled_NEE,ANN_region,NaN,NaN,NaN,R_filled_ANN_region,R_filled_ANN_region,NaN,R_filled_ANN_region,NaN,NaN
GapFilledANN_NEE,umol/m2/s,NEE_filled,gapfilled_NEE,ANN_region,NaN,NaN,NaN,NEE_filled_ANN_region,NEE_filled_ANN_region,NaN,NEE_filled_ANN_region,NaN,NaN
